symptom_text,label
"Ich habe Kopfschmerzen und Husten","Erkältung"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich habe Brustschmerzen und Atemnot","Herz-Kreislauf"
"Mein Blutdruck ist zu hoch und ich habe Kopfschmerzen","Herz-Kreislauf"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Ich wache früh auf und bin trotzdem müde","Schlafstörung"
"Ich habe Kopfschmerzen und fühle mich ausgelaugt","Stress"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Meine Augen jucken und meine Nase läuft","Allergie"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich habe Verspannungen und fühle mich ständig unter Druck","Stress"
"Ich bin ständig traurig und weine oft","Psychisch"
"Mein Blutdruck ist zu hoch und ich habe Kopfschmerzen","Herz-Kreislauf"
"Ich habe Durchfall und Magenkrämpfe","Verdauung"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Ich habe Verstopfung und ein Völlegefühl","Verdauung"
"Ich habe Brustschmerzen und Atemnot","Herz-Kreislauf"
"Ich bin ständig traurig und weine oft","Psychisch"
"Ich kann nicht einschlafen und wache nachts oft auf","Schlafstörung"
"Meine Gelenke tun weh beim Gehen","Orthopädisch"
"Ich bin gereizt und kann mich nicht konzentrieren","Stress"
"Ich habe Blähungen und Bauchschmerzen","Verdauung"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich habe Brustschmerzen und Atemnot","Herz-Kreislauf"
"Ich habe Fieber und Gliederschmerzen","Erkältung"
"Ich habe Blähungen und Bauchschmerzen","Verdauung"
"Ich fühle mich leer und kann mich über nichts freuen","Psychisch"
"Mein Blutdruck ist zu hoch und ich habe Kopfschmerzen","Herz-Kreislauf"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich bin ständig traurig und weine oft","Psychisch"
"Ich habe Verstopfung und ein Völlegefühl","Verdauung"
"Meine Gelenke tun weh beim Gehen","Orthopädisch"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Meine Gelenke tun weh beim Gehen","Orthopädisch"
"Mein Blutdruck ist zu hoch und ich habe Kopfschmerzen","Herz-Kreislauf"
"Ich habe Fieber und Gliederschmerzen","Erkältung"
"Ich habe Angst und ziehe mich zurück","Psychisch"
"Meine Gelenke tun weh beim Gehen","Orthopädisch"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Ich habe Durchfall und Magenkrämpfe","Verdauung"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich habe Angst und ziehe mich zurück","Psychisch"
"Ich habe Herzrasen und Schwindel","Herz-Kreislauf"
"Ich fühle mich leer und kann mich über nichts freuen","Psychisch"
"Ich habe Nackenschmerzen und Verspannungen","Orthopädisch"
"Ich habe Kopfschmerzen und fühle mich ausgelaugt","Stress"
"Ich finde keinen erholsamen Schlaf","Schlafstörung"
"Ich wache früh auf und bin trotzdem müde","Schlafstörung"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich habe Durchfall und Magenkrämpfe","Verdauung"
"Ich habe Verspannungen und fühle mich ständig unter Druck","Stress"
"Ich fühle mich leer und kann mich über nichts freuen","Psychisch"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Ich kann nicht einschlafen und wache nachts oft auf","Schlafstörung"
"Ich bin gereizt und kann mich nicht konzentrieren","Stress"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Ich kann nicht einschlafen und wache nachts oft auf","Schlafstörung"
"Meine Gelenke tun weh beim Gehen","Orthopädisch"
"Ich finde keinen erholsamen Schlaf","Schlafstörung"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Ich habe Verstopfung und ein Völlegefühl","Verdauung"
"Ich habe Verstopfung und ein Völlegefühl","Verdauung"
"Ich habe Verstopfung und ein Völlegefühl","Verdauung"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich habe Fieber und Gliederschmerzen","Erkältung"
"Ich habe Rückenschmerzen und Bewegungseinschränkungen","Orthopädisch"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Ich habe Brustschmerzen und Atemnot","Herz-Kreislauf"
"Ich habe Rückenschmerzen und Bewegungseinschränkungen","Orthopädisch"
"Ich habe Durchfall und Magenkrämpfe","Verdauung"
"Ich habe Durchfall und Magenkrämpfe","Verdauung"
"Ich habe Rückenschmerzen und Bewegungseinschränkungen","Orthopädisch"
"Ich habe Herzrasen und Schwindel","Herz-Kreislauf"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Ich finde keinen erholsamen Schlaf","Schlafstörung"
"Ich bin gereizt und kann mich nicht konzentrieren","Stress"
"Ich habe Durchfall und Magenkrämpfe","Verdauung"
"Meine Augen jucken und meine Nase läuft","Allergie"
"Ich finde keinen erholsamen Schlaf","Schlafstörung"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich habe Angst und ziehe mich zurück","Psychisch"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Ich habe Angst und ziehe mich zurück","Psychisch"
"Ich habe Fieber und Gliederschmerzen","Erkältung"
"Ich habe Brustschmerzen und Atemnot","Herz-Kreislauf"
"Meine Gelenke tun weh beim Gehen","Orthopädisch"
"Meine Augen jucken und meine Nase läuft","Allergie"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Ich habe Blähungen und Bauchschmerzen","Verdauung"
"Ich habe Verstopfung und ein Völlegefühl","Verdauung"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich wache früh auf und bin trotzdem müde","Schlafstörung"
"Ich bin ständig traurig und weine oft","Psychisch"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich habe Nackenschmerzen und Verspannungen","Orthopädisch"
"Ich finde keinen erholsamen Schlaf","Schlafstörung"
"Ich finde keinen erholsamen Schlaf","Schlafstörung"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Ich habe Nackenschmerzen und Verspannungen","Orthopädisch"
"Meine Augen jucken und meine Nase läuft","Allergie"
"Ich habe Herzrasen und Schwindel","Herz-Kreislauf"
"Ich habe Fieber und Gliederschmerzen","Erkältung"
"Ich habe Herzrasen und Schwindel","Herz-Kreislauf"
"Ich bin gereizt und kann mich nicht konzentrieren","Stress"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Ich habe Brustschmerzen und Atemnot","Herz-Kreislauf"
"Ich habe Nackenschmerzen und Verspannungen","Orthopädisch"
"Meine Augen jucken und meine Nase läuft","Allergie"
"Ich habe Angst und ziehe mich zurück","Psychisch"
"Ich habe Blähungen und Bauchschmerzen","Verdauung"
"Ich habe Brustschmerzen und Atemnot","Herz-Kreislauf"
"Ich habe Brustschmerzen und Atemnot","Herz-Kreislauf"
"Ich habe Kopfschmerzen und fühle mich ausgelaugt","Stress"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Ich habe Angst und ziehe mich zurück","Psychisch"
"Ich habe Durchfall und Magenkrämpfe","Verdauung"
"Ich habe Brustschmerzen und Atemnot","Herz-Kreislauf"
"Ich habe Fieber und Gliederschmerzen","Erkältung"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Mein Blutdruck ist zu hoch und ich habe Kopfschmerzen","Herz-Kreislauf"
"Ich habe Verstopfung und ein Völlegefühl","Verdauung"
"Ich habe Durchfall und Magenkrämpfe","Verdauung"
"Mein Blutdruck ist zu hoch und ich habe Kopfschmerzen","Herz-Kreislauf"
"Ich habe Angst und ziehe mich zurück","Psychisch"
"Ich finde keinen erholsamen Schlaf","Schlafstörung"
"Ich finde keinen erholsamen Schlaf","Schlafstörung"
"Ich wache früh auf und bin trotzdem müde","Schlafstörung"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Ich kann nicht einschlafen und wache nachts oft auf","Schlafstörung"
"Ich bin gereizt und kann mich nicht konzentrieren","Stress"
"Ich habe Verstopfung und ein Völlegefühl","Verdauung"
"Ich habe Kopfschmerzen und fühle mich ausgelaugt","Stress"
"Mein Blutdruck ist zu hoch und ich habe Kopfschmerzen","Herz-Kreislauf"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Ich habe Herzrasen und Schwindel","Herz-Kreislauf"
"Ich habe Angst und ziehe mich zurück","Psychisch"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Ich bin ständig traurig und weine oft","Psychisch"
"Ich habe Brustschmerzen und Atemnot","Herz-Kreislauf"
"Ich habe Durchfall und Magenkrämpfe","Verdauung"
"Ich habe Angst und ziehe mich zurück","Psychisch"
"Ich habe Angst und ziehe mich zurück","Psychisch"
"Ich habe Fieber und Gliederschmerzen","Erkältung"
"Ich habe Rückenschmerzen und Bewegungseinschränkungen","Orthopädisch"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich wache früh auf und bin trotzdem müde","Schlafstörung"
"Ich bin ständig traurig und weine oft","Psychisch"
"Ich habe Nackenschmerzen und Verspannungen","Orthopädisch"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Mein Blutdruck ist zu hoch und ich habe Kopfschmerzen","Herz-Kreislauf"
"Ich habe Verstopfung und ein Völlegefühl","Verdauung"
"Ich habe Herzrasen und Schwindel","Herz-Kreislauf"
"Ich bin ständig traurig und weine oft","Psychisch"
"Ich habe Verstopfung und ein Völlegefühl","Verdauung"
"Ich habe Fieber und Gliederschmerzen","Erkältung"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich habe Nackenschmerzen und Verspannungen","Orthopädisch"
"Ich fühle mich leer und kann mich über nichts freuen","Psychisch"
"Meine Augen jucken und meine Nase läuft","Allergie"
"Mein Blutdruck ist zu hoch und ich habe Kopfschmerzen","Herz-Kreislauf"
"Ich habe Blähungen und Bauchschmerzen","Verdauung"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Ich wache früh auf und bin trotzdem müde","Schlafstörung"
"Meine Augen jucken und meine Nase läuft","Allergie"
"Ich habe Blähungen und Bauchschmerzen","Verdauung"
"Ich habe Nackenschmerzen und Verspannungen","Orthopädisch"
"Ich habe Kopfschmerzen und fühle mich ausgelaugt","Stress"
"Meine Augen jucken und meine Nase läuft","Allergie"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Ich habe Durchfall und Magenkrämpfe","Verdauung"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich wache früh auf und bin trotzdem müde","Schlafstörung"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich bekomme Hautausschlag nach dem Essen","Allergie"
"Ich wache früh auf und bin trotzdem müde","Schlafstörung"
"Ich finde keinen erholsamen Schlaf","Schlafstörung"
"Ich finde keinen erholsamen Schlaf","Schlafstörung"
"Ich finde keinen erholsamen Schlaf","Schlafstörung"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich habe Nackenschmerzen und Verspannungen","Orthopädisch"
"Ich muss niesen, wenn ich draußen bin","Allergie"
"Ich fühle mich leer und kann mich über nichts freuen","Psychisch"
"Ich habe Brustschmerzen und Atemnot","Herz-Kreislauf"
"Ich habe Herzrasen und Schwindel","Herz-Kreislauf"
"Ich habe Durchfall und Magenkrämpfe","Verdauung"
"Meine Augen jucken und meine Nase läuft","Allergie"
"Ich habe Herzrasen und Schwindel","Herz-Kreislauf"
"Ich habe Fieber und Gliederschmerzen","Erkältung"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich fühle mich leer und kann mich über nichts freuen","Psychisch"
"Ich habe Brustschmerzen und Atemnot","Herz-Kreislauf"
"Ich habe Schnupfen und Halsschmerzen","Erkältung"
"Ich habe Nackenschmerzen und Verspannungen","Orthopädisch"
"Ich finde keinen erholsamen Schlaf","Schlafstörung"
"Ich huste stark und habe eine verstopfte Nase","Erkältung"
"Ich habe Verspannungen und fühle mich ständig unter Druck","Stress"
"Ich habe Verspannungen und fühle mich ständig unter Druck","Stress"
"Ich bin ständig traurig und weine oft","Psychisch"
"Ich habe Blähungen und Bauchschmerzen","Verdauung"
"Mein Blutdruck ist zu hoch und ich habe Kopfschmerzen","Herz-Kreislauf"
"Ich habe Herzrasen und Schwindel","Herz-Kreislauf"
